L value (g1),Actual Luminance (g1),RGB (g1),Lab (g1),L value (g2),Actual Luminance (g2),RGB (g2),Lab (g2),Final Angular Velocity
90.86034581,169.3063428,"(253, 178, 255)","(90.86034580852693, 79.2, -107.86)",80.41576727,169.3063428,"(203, 207, 0)","(80.4157672744941, -21.56, 94.48)",-0.1
54.77516692,66.45785644,"(0, 159, 0)","(54.775166923155695, -86.18, 83.18)",66.71747644,66.45785644,"(172, 111, 255)","(66.7174764415307, 79.2, -107.86)",0.7
37.11139582,32.05999515,"(200, 0, 0)","(37.11139582157641, 80, 67)",41.26659609,32.05999515,"(0, 122, 0)","(41.26659609219304, -86.18, 83.18)",-0.9
76.08987935,142.248533,"(190, 195, 0)","(76.08987935262466, -21.56, 94.48)",86.10422208,142.248533,"(237, 165, 255)","(86.10422208116285, 79.2, -107.86)",-0.3
16.55226753,10.90897389,"(135, 0, 0)","(16.55226752631013, 80, 67)",25.82875409,10.90897389,"(0, 80, 0)","(25.828754088342, -86.18, 83.18)",-0.6
53.19074347,61.6507157,"(0, 155, 0)","(53.1907434730692, -86.18, 83.18)",57.11973154,61.6507157,"(133, 145, 0)","(57.119731541152184, -21.56, 94.48)",-0.5
71.50083726,137.949037,"(0, 207, 0)","(71.50083726197082, -86.18, 83.18)",85.3702692,137.949037,"(234, 163, 255)","(85.37026919904685, 79.2, -107.86)",0.5
59.25756292,68.05565852,"(139, 150, 0)","(59.257562923104885, -21.56, 94.48)",55.2441756,68.05565852,"(0, 160, 0)","(55.244175604699265, -86.18, 83.18)",0
38.27385466,33.8548316,"(204, 0, 0)","(38.2738546605914, 80, 67)",42.18326435,33.8548316,"(0, 124, 0)","(42.18326434931211, -86.18, 83.18)",0.7
98.12182983,204.8183873,"(255, 199, 255)","(98.12182982655246, 79.2, -107.86)",81.96038632,204.8183873,"(0, 237, 0)","(81.96038632127187, -86.18, 83.18)",0.5
41.45497546,25.84731602,"(91, 105, 0)","(41.454975456394855, -21.56, 94.48)",38.20665123,25.84731602,"(59, 28, 255)","(38.206651232013876, 79.2, -107.86)",-0.3
16.14808959,10.64625823,"(133, 0, 0)","(16.148089590618337, 80, 67)",28.50155338,10.64625823,"(63, 73, 0)","(28.501553375187555, -21.56, 94.48)",-0.4
64.23670921,103.0656192,"(0, 186, 0)","(64.23670921481914, -86.18, 83.18)",68.12897699,103.0656192,"(166, 174, 0)","(68.12897698790097, -21.56, 94.48)",0.7
81.28805073,92.60527903,"(255, 122, 79)","(81.28805072980686, 80, 67)",75.06360971,92.60527903,"(200, 134, 255)","(75.06360970628536, 79.2, -107.86)",0.6
25.8793036,18.26371675,"(163, 0, 0)","(25.879303604504813, 80, 67)",36.04428994,18.26371675,"(78, 92, 0)","(36.04428994478321, -21.56, 94.48)",0.6
82.94198646345315,125.84391064555182,"(226, 156, 255)","(82.94198646345315, 79.2, -107.86)",93.097160955242,125.84391064555182,"(255, 158, 110)","(93.097160955242, 80, 67)",-0.000


39.89404887185891,23.106713480798504,"(87, 101, 0)","(39.89404887185891, -21.56, 94.48)",36.13304270059648,23.106713480798504,"(0, 108, 0)","(36.13304270059648, -86.18, 83.18)",0.100

